101,Sonos Arc Soundbar with Dolby Atmos,20,799.99
102,Bose 700 Soundbar + Bass Module 700,29,1099.99
103,Samsung HW-Q90R 7.1.4 Channel Soundbar,40,1299.99
104,LG SN11RG 7.1.4 Channel Soundbar with Dolby Atmos,35,899.99
105,Sony A8H 65-Inch OLED 4K TV,20,1599.99
106,Samsung QN90A 75-Inch Neo QLED 4K TV,14,2799.99
107,LG C1 55-Inch OLED 4K Smart TV,50,1299.99
108,Vizio P-Series Quantum 65-Inch 4K UHD Smart TV,40,899.99
109,Epson Home Cinema 3800 4K PRO-UHD Projector,15,1699.99
110,BenQ TK800M 4K UHD Home Projector,18,1499.99
111,Anker Nebula Capsule Max Projector,30,499.99
112,ViewSonic PX747-4K 4K UHD Projector,25,1049.99
113,Apple Pro Display XDR 32-Inch 6K Retina Display,10,4999.99
114,LG UltraWide 34-Inch Curved QHD Monitor,18,799.99
115,Dell UltraSharp 27-Inch 4K USB-C Monitor,25,599.99
116,Samsung Odyssey G7 27-Inch QHD Curved Gaming Monitor,30,699.99
117,Google Nest Hub Max 10-Inch Smart Display,50,229.99
118,Amazon Echo Show 10 10.1-Inch Smart Display,40,249.99
119,Lenovo Smart Display 10-Inch,35,199.99
120,Roku Streaming Stick 4K,100,49.99
121,Amazon Fire TV Stick 4K,120,39.99
122,Apple TV 4K 32GB,80,179.99
123,Google Chromecast with Google TV,75,49.99
124,Beats Studio 3 Wireless Headphones,50,349.99
125,Sony WH-1000XM4 Noise Cancelling Headphones,60,348.00
126,Bose QuietComfort 35 II Noise Cancelling Headphones,40,299.99
127,JBL Flip 5 Waterproof Bluetooth Speaker,80,119.99
128,Sonos One (Gen 2) Smart Speaker,100,199.99
129,Marshall Stanmore II Wireless Bluetooth Speaker,75,399.99
130,Logitech Harmony Elite Universal Remote Control,30,349.99
131,Sony VPL-VW695ES 4K Home Theater Projector,13,6499.99
